month,visits,signups
2024-01-01,12450,180
2024-02-01,13280,205
2024-03-01,15120,261
2024-04-01,14860,242
2024-05-01,17430,318
2024-06-01,19250,372
2024-07-01,18510,341
2024-08-01,,289
2024-09-01,21430,394
2024-10-01,24180,442
2024-11-01,26310,487
2024-12-01,28560,538
2025-01-01,25240,471
2025-02-01,27360,503
2025-03-01,29840,571
2025-04-01,31250,612
2025-05-01,33820,668
2025-06-01,35480,711
2025-07-01,34110,684
2025-08-01,36540,729
2025-09-01,38950,786
2025-10-01,41280,842
2025-11-01,43760,901
2025-12-01,45920,962
