x,y,z
3.589,1.059,23.610
9.179,1.016,13.372
0.250,4.664,4.019
5.475,5.097,11.919
8.984,3.395,12.700
2.481,2.617,49.481
1.919,6.628,5.184
7.588,8.127,43.928
8.896,5.297,14.315
3.217,9.815,5.155
8.496,7.479,33.727
1.514,7.447,1.574
3.545,8.211,6.502
8.200,0.720,12.093
2.663,6.317,6.193
9.470,3.608,13.528
6.062,6.746,18.998
1.798,8.237,2.757
1.658,4.774,17.985
2.423,1.389,28.645
8.396,9.749,20.827
4.548,1.267,19.964
9.254,1.590,13.306
2.093,9.247,3.125
8.333,0.744,11.848
2.168,4.094,33.651
3.369,4.015,42.365
3.527,6.144,8.291
0.971,6.481,2.871
8.823,4.801,13.331
3.681,6.731,7.232
9.103,7.094,24.572
2.245,3.986,36.855
8.239,7.863,38.534
2.848,7.314,4.843
8.301,4.956,13.603
1.010,5.797,3.267
3.748,0.157,10.451
4.797,9.162,9.028
9.110,1.823,13.801
6.961,2.751,11.617
1.252,6.329,2.927
1.085,4.179,15.646
7.111,0.688,10.637
7.727,0.037,11.844
9.396,1.219,14.660
2.235,7.855,4.104
1.412,9.858,1.706
4.060,7.421,6.286
9.336,6.009,16.204
0.119,2.406,6.023
3.855,4.269,33.838
8.772,8.117,31.384
3.486,7.937,5.676
5.257,7.019,13.155
8.641,2.394,11.982
8.725,3.745,13.264
5.806,4.595,11.721
2.014,8.495,3.636
0.971,2.109,16.828
9.750,7.112,19.408
1.745,4.728,17.736
7.325,6.054,19.198
1.532,9.931,2.646
0.620,4.756,6.097
7.929,9.781,21.906
5.768,5.260,10.837
4.631,3.234,31.622
5.772,1.957,14.877
1.470,5.806,5.411
4.278,2.173,33.982
1.091,4.774,10.733
8.823,0.305,12.913
6.083,6.216,14.796
5.499,0.949,11.826
6.614,5.868,15.914
5.843,7.438,21.240
3.442,7.811,4.523
1.625,5.701,7.583
9.554,4.590,15.217
8.940,6.729,23.143
9.430,1.143,14.859
7.910,0.197,12.320
8.071,2.509,12.107
4.174,3.662,38.275
9.410,2.728,13.740
6.953,2.083,10.793
3.632,4.263,36.190
8.873,4.854,14.033
7.209,9.888,20.726
2.702,1.154,25.749
5.150,2.429,21.436
0.661,3.115,14.158
1.359,7.718,2.955
7.105,8.259,39.698
7.152,2.986,10.506
2.805,1.812,39.535
9.355,3.968,14.844
3.486,1.305,28.616
8.549,2.427,13.840
1.933,5.157,15.323
4.693,1.919,25.879
2.247,6.575,5.503
7.075,0.029,11.509
7.831,1.240,11.221
